NO_LAPORAN,TGL_LAPORAN,MO,MO_clean,MO_casefold,MO_normalized,MO_tokens,MO_stopwords,MO_tokens_stemmed,MO_final_text
LP/B/36/III/2023/Kalbar/Res Mpw/Sek Sui Pinyuh,20 Maret 2023,"Pohon mangga besar milik korban (tetangga) daun keringnya selalu jatuh mengotori halaman tersangka, dan akarnya mulai merusak ubin teras tersangka. Korban menolak menebang pohon tersebut. Akibatnya Tersangka membeli 2 liter solar dan 1 botol herbisida sistemik (racun tanaman keras). Pada dini hari, tersangka mengebor batang utama pohon mangga tersebut menggunakan bor listrik di 4 titik berbeda dengan sudut miring ke bawah. Tersangka menyuntikkan campuran solar dan herbisida ke dalam lubang bor tersebut menggunakan alat suntik takaran besar, lalu menutup lubang dengan tanah liat agar tidak ketahuan. Pohon tersebut mati perlahan dan kering dalam 2 minggu",Pohon mangga besar milik korban tetangga daun keringnya selalu jatuh mengotori halaman tersangka dan akarnya mulai merusak ubin teras tersangka Korban menolak menebang pohon tersebut Akibatnya Tersangka membeli liter solar dan botol herbisida sistemik racun tanaman keras Pada dini hari tersangka mengebor batang utama pohon mangga tersebut menggunakan bor listrik di titik berbeda dengan sudut miring ke bawah Tersangka menyuntikkan campuran solar dan herbisida ke dalam lubang bor tersebut menggunakan alat suntik takaran besar lalu menutup lubang dengan tanah liat agar tidak ketahuan Pohon tersebut mati perlahan dan kering dalam minggu,pohon mangga besar milik korban tetangga daun keringnya selalu jatuh mengotori halaman tersangka dan akarnya mulai merusak ubin teras tersangka korban menolak menebang pohon tersebut akibatnya tersangka membeli liter solar dan botol herbisida sistemik racun tanaman keras pada dini hari tersangka mengebor batang utama pohon mangga tersebut menggunakan bor listrik di titik berbeda dengan sudut miring ke bawah tersangka menyuntikkan campuran solar dan herbisida ke dalam lubang bor tersebut menggunakan alat suntik takaran besar lalu menutup lubang dengan tanah liat agar tidak ketahuan pohon tersebut mati perlahan dan kering dalam minggu,pohon mangga besar milik korban tetangga daun keringnya selalu jatuh mengotori halaman tersangka dan akarnya mulai merusak ubin teras tersangka korban menolak menebang pohon tersebut akibatnya tersangka membeli liter solar dan botol herbisida sistemik racun tanaman keras pada dini hari tersangka mengebor batang utama pohon mangga tersebut menggunakan bor listrik di titik berbeda dengan sudut miring ke bawah tersangka menyuntikkan campuran solar dan herbisida ke dalam lubang bor tersebut menggunakan alat suntik takaran besar lalu menutup lubang dengan tanah lihat agar tidak ketahuan pohon tersebut mati perlahan dan kering dalam minggu,"['pohon', 'mangga', 'besar', 'milik', 'korban', 'tetangga', 'daun', 'keringnya', 'selalu', 'jatuh', 'mengotori', 'halaman', 'tersangka', 'dan', 'akarnya', 'mulai', 'merusak', 'ubin', 'teras', 'tersangka', 'korban', 'menolak', 'menebang', 'pohon', 'tersebut', 'akibatnya', 'tersangka', 'membeli', 'liter', 'solar', 'dan', 'botol', 'herbisida', 'sistemik', 'racun', 'tanaman', 'keras', 'pada', 'dini', 'hari', 'tersangka', 'mengebor', 'batang', 'utama', 'pohon', 'mangga', 'tersebut', 'menggunakan', 'bor', 'listrik', 'di', 'titik', 'berbeda', 'dengan', 'sudut', 'miring', 'ke', 'bawah', 'tersangka', 'menyuntikkan', 'campuran', 'solar', 'dan', 'herbisida', 'ke', 'dalam', 'lubang', 'bor', 'tersebut', 'menggunakan', 'alat', 'suntik', 'takaran', 'besar', 'lalu', 'menutup', 'lubang', 'dengan', 'tanah', 'lihat', 'agar', 'tidak', 'ketahuan', 'pohon', 'tersebut', 'mati', 'perlahan', 'dan', 'kering', 'dalam', 'minggu']","['pohon', 'mangga', 'milik', 'korban', 'tetangga', 'daun', 'keringnya', 'jatuh', 'mengotori', 'halaman', 'tersangka', 'akarnya', 'merusak', 'ubin', 'teras', 'tersangka', 'korban', 'menolak', 'menebang', 'pohon', 'akibatnya', 'tersangka', 'membeli', 'liter', 'solar', 'botol', 'herbisida', 'sistemik', 'racun', 'tanaman', 'keras', 'tersangka', 'mengebor', 'batang', 'utama', 'pohon', 'mangga', 'bor', 'listrik', 'titik', 'berbeda', 'sudut', 'miring', 'tersangka', 'menyuntikkan', 'campuran', 'solar', 'herbisida', 'lubang', 'bor', 'alat', 'suntik', 'takaran', 'menutup', 'lubang', 'tanah', 'lihat', 'ketahuan', 'pohon', 'mati', 'perlahan', 'kering', 'minggu']","['pohon', 'mangga', 'milik', 'korban', 'tetangga', 'daun', 'kering', 'jatuh', 'kotor', 'halaman', 'tersangka', 'akar', 'rusak', 'ubin', 'teras', 'tersangka', 'korban', 'tolak', 'tebang', 'pohon', 'akibat', 'tersangka', 'beli', 'liter', 'solar', 'botol', 'herbisida', 'sistemik', 'racun', 'tanam', 'keras', 'tersangka', 'bor', 'batang', 'utama', 'pohon', 'mangga', 'bor', 'listrik', 'titik', 'beda', 'sudut', 'miring', 'tersangka', 'suntik', 'campur', 'solar', 'herbisida', 'lubang', 'bor', 'alat', 'suntik', 'takar', 'tutup', 'lubang', 'tanah', 'lihat', 'tahu', 'pohon', 'mati', 'perlahan', 'kering', 'minggu']",pohon mangga milik korban tetangga daun kering jatuh kotor halaman tersangka akar rusak ubin teras tersangka korban tolak tebang pohon akibat tersangka beli liter solar botol herbisida sistemik racun tanam keras tersangka bor batang utama pohon mangga bor listrik titik beda sudut miring tersangka suntik campur solar herbisida lubang bor alat suntik takar tutup lubang tanah lihat tahu pohon mati perlahan kering minggu
LP/B/38/III/2023/Kalbar/Res Mpw/Sek Sui Pinyuh,28 Maret 2023,Pelaku mengambil 2 (dua) buah Aki mobil truk pada saat diparkir dipinggir jalan,Pelaku mengambil dua buah Aki mobil truk pada saat diparkir dipinggir jalan,pelaku mengambil dua buah aki mobil truk pada saat diparkir dipinggir jalan,pelaku mengambil dua buah aki mobil truk pada saat diparkir dipinggir jalan,"['pelaku', 'mengambil', 'dua', 'buah', 'aki', 'mobil', 'truk', 'pada', 'saat', 'diparkir', 'dipinggir', 'jalan']","['pelaku', 'mengambil', 'buah', 'aki', 'mobil', 'truk', 'diparkir', 'dipinggir', 'jalan']","['pelaku', 'ambil', 'buah', 'aki', 'mobil', 'truk', 'parkir', 'pinggir', 'jalan']",pelaku ambil buah aki mobil truk parkir pinggir jalan
LP/B/40/IV/2023/Kalbar/Res Mpw/Sek Sui Pinyuh,1 April 2023,"Saat dilakukan penggerebekan di sebuah rumah kontrakan di Jl. Tani, Desa/Kel. Sungai Batang, Kec. Sungai Pinyuh, Kab. Mempawah, ditemukan alat hisap sabu dan plastik klip berisi kristal putih.",Saat dilakukan penggerebekan di sebuah rumah kontrakan di Jl Tani Desa Kel Sungai Batang Kec Sungai Pinyuh Kab Mempawah ditemukan alat hisap sabu dan plastik klip berisi kristal putih,saat dilakukan penggerebekan di sebuah rumah kontrakan di jl tani desa kel sungai batang kec sungai pinyuh kab mempawah ditemukan alat hisap sabu dan plastik klip berisi kristal putih,saat dilakukan penggerebekan di sebuah rumah kontrakan di jalan tani desa keluarga sungai batang kecamatan sungai pinyuh kabupaten mempawah ditemukan alat hisap sabu dan plastik klip berisi kristal putih,"['saat', 'dilakukan', 'penggerebekan', 'di', 'sebuah', 'rumah', 'kontrakan', 'di', 'jalan', 'tani', 'desa', 'keluarga', 'sungai', 'batang', 'kecamatan', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'ditemukan', 'alat', 'hisap', 'sabu', 'dan', 'plastik', 'klip', 'berisi', 'kristal', 'putih']","['penggerebekan', 'rumah', 'kontrakan', 'jalan', 'tani', 'desa', 'keluarga', 'sungai', 'batang', 'kecamatan', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'ditemukan', 'alat', 'hisap', 'sabu', 'plastik', 'klip', 'berisi', 'kristal', 'putih']","['gerebek', 'rumah', 'kontra', 'jalan', 'tani', 'desa', 'keluarga', 'sungai', 'batang', 'camat', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'temu', 'alat', 'hisap', 'sabu', 'plastik', 'klip', 'isi', 'kristal', 'putih']",gerebek rumah kontra jalan tani desa keluarga sungai batang camat sungai pinyuh kabupaten mempawah temu alat hisap sabu plastik klip isi kristal putih
LP/B/46/IV/2023/Kalbar/Res Mpw/Sek Sui Pinyuh,3 April 2023,"Pelaku mengambil dompet berisi uang dan surat-surat milik korban yang sedang terparkir di Jl. Seliung, Desa/Kel. Nusapati, Kec. Sungai Pinyuh, Kab. Mempawah dengan menggunakan kunci T.",Pelaku mengambil dompet berisi uang dan surat surat milik korban yang sedang terparkir di Jl Seliung Desa Kel Nusapati Kec Sungai Pinyuh Kab Mempawah dengan menggunakan kunci T,pelaku mengambil dompet berisi uang dan surat surat milik korban yang sedang terparkir di jl seliung desa kel nusapati kec sungai pinyuh kab mempawah dengan menggunakan kunci t,pelaku mengambil dompet berisi uang dan surat surat milik korban yang sedang terparkir di jalan seliung desa keluarga nusapati kecamatan sungai pinyuh kabupaten mempawah dengan menggunakan kunci t,"['pelaku', 'mengambil', 'dompet', 'berisi', 'uang', 'dan', 'surat', 'surat', 'milik', 'korban', 'yang', 'sedang', 'terparkir', 'di', 'jalan', 'seliung', 'desa', 'keluarga', 'nusapati', 'kecamatan', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'dengan', 'menggunakan', 'kunci', 't']","['pelaku', 'mengambil', 'dompet', 'berisi', 'uang', 'surat', 'surat', 'milik', 'korban', 'terparkir', 'jalan', 'seliung', 'desa', 'keluarga', 'nusapati', 'kecamatan', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'kunci']","['pelaku', 'ambil', 'dompet', 'isi', 'uang', 'surat', 'surat', 'milik', 'korban', 'parkir', 'jalan', 'seliung', 'desa', 'keluarga', 'nusapati', 'camat', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'kunci']",pelaku ambil dompet isi uang surat surat milik korban parkir jalan seliung desa keluarga nusapati camat sungai pinyuh kabupaten mempawah kunci
LP/B/47/IV/2023/Kalbar/Res Mpw/Sek Sui Pinyuh,6 April 2023,"Tersangka merasa sakit hati dipermalukan oleh korban saat acara, tersangka keluar lebih dulu dari acara arisan dan menuju parkiran. Tersangka melihat mobil korban. Menggunakan pisau lipat survival yang tajam, tersangka tidak hanya mengempeskan ban, tetapi menyayat dinding samping (sidewall) keempat ban mobil korban hingga robek lebar.",Tersangka merasa sakit hati dipermalukan oleh korban saat acara tersangka keluar lebih dulu dari acara arisan dan menuju parkiran Tersangka melihat mobil korban Menggunakan pisau lipat survival yang tajam tersangka tidak hanya mengempeskan ban tetapi menyayat dinding samping sidewall keempat ban mobil korban hingga robek lebar,tersangka merasa sakit hati dipermalukan oleh korban saat acara tersangka keluar lebih dulu dari acara arisan dan menuju parkiran tersangka melihat mobil korban menggunakan pisau lipat survival yang tajam tersangka tidak hanya mengempeskan ban tetapi menyayat dinding samping sidewall keempat ban mobil korban hingga robek lebar,tersangka merasa sakit hati dipermalukan oleh korban saat acara tersangka keluar lebih dulu dari acara arisan dan menuju parkiran tersangka melihat mobil korban menggunakan pisau lipat survival yang tajam tersangka tidak hanya mengempeskan ban tetapi menyayat dinding samping sidewall keempat ban mobil korban hingga robek lebar,"['tersangka', 'merasa', 'sakit', 'hati', 'dipermalukan', 'oleh', 'korban', 'saat', 'acara', 'tersangka', 'keluar', 'lebih', 'dulu', 'dari', 'acara', 'arisan', 'dan', 'menuju', 'parkiran', 'tersangka', 'melihat', 'mobil', 'korban', 'menggunakan', 'pisau', 'lipat', 'survival', 'yang', 'tajam', 'tersangka', 'tidak', 'hanya', 'mengempeskan', 'ban', 'tetapi', 'menyayat', 'dinding', 'samping', 'sidewall', 'keempat', 'ban', 'mobil', 'korban', 'hingga', 'robek', 'lebar']","['tersangka', 'sakit', 'hati', 'dipermalukan', 'korban', 'acara', 'tersangka', 'acara', 'arisan', 'parkiran', 'tersangka', 'mobil', 'korban', 'pisau', 'lipat', 'survival', 'tajam', 'tersangka', 'mengempeskan', 'ban', 'menyayat', 'dinding', 'samping', 'sidewall', 'keempat', 'ban', 'mobil', 'korban', 'robek', 'lebar']","['tersangka', 'sakit', 'hati', 'malu', 'korban', 'acara', 'tersangka', 'acara', 'arisan', 'parkir', 'tersangka', 'mobil', 'korban', 'pisau', 'lipat', 'survival', 'tajam', 'tersangka', 'kempes', 'ban', 'sayat', 'dinding', 'samping', 'sidewall', 'empat', 'ban', 'mobil', 'korban', 'robek', 'lebar']",tersangka sakit hati malu korban acara tersangka acara arisan parkir tersangka mobil korban pisau lipat survival tajam tersangka kempes ban sayat dinding samping sidewall empat ban mobil korban robek lebar
LP/B/52/IV/2023/Kalbar/Res Mpw/Sek Sui Pinyuh,8 April 2023,"Pelaku berpura-pura bertamu kemudian saat korban lengah, pelaku mengambil 1 unit sepeda motor Honda Vario yang ada di meja.",Pelaku berpura pura bertamu kemudian saat korban lengah pelaku mengambil unit sepeda motor Honda Vario yang ada di meja,pelaku berpura pura bertamu kemudian saat korban lengah pelaku mengambil unit sepeda motor honda vario yang ada di meja,pelaku berpura pura bertamu kemudian saat korban lengah pelaku mengambil unit sepeda motor honda vario yang ada di meja,"['pelaku', 'berpura', 'pura', 'bertamu', 'kemudian', 'saat', 'korban', 'lengah', 'pelaku', 'mengambil', 'unit', 'sepeda', 'motor', 'honda', 'vario', 'yang', 'ada', 'di', 'meja']","['pelaku', 'berpura', 'pura', 'bertamu', 'korban', 'lengah', 'pelaku', 'mengambil', 'unit', 'sepeda', 'motor', 'honda', 'vario', 'meja']","['pelaku', 'pura', 'pura', 'tamu', 'korban', 'lengah', 'pelaku', 'ambil', 'unit', 'sepeda', 'motor', 'honda', 'vario', 'meja']",pelaku pura pura tamu korban lengah pelaku ambil unit sepeda motor honda vario meja
LP/B/57/IV/2023/Kalbar/Res Mpw/Sek Sui Pinyuh,14 April 2023,"Petugas mendapatkan informasi masyarakat bahwa di Gg. Usaha RT 12/RW 01, Sungai Purun Kecil, Kec. Sungai Pinyuh sering terjadi transaksi narkoba, saat digeledah ditemukan timbangan digital di saku celana pelaku.",Petugas mendapatkan informasi masyarakat bahwa di Gg Usaha RT RW Sungai Purun Kecil Kec Sungai Pinyuh sering terjadi transaksi narkoba saat digeledah ditemukan timbangan digital di saku celana pelaku,petugas mendapatkan informasi masyarakat bahwa di gg usaha rt rw sungai purun kecil kec sungai pinyuh sering terjadi transaksi narkoba saat digeledah ditemukan timbangan digital di saku celana pelaku,petugas mendapatkan informasi masyarakat bahwa di gang usaha rukun tetangga rukun warga sungai purun kecil kecamatan sungai pinyuh sering terjadi transaksi narkoba saat digeledah ditemukan timbangan digital di saku celana pelaku,"['petugas', 'mendapatkan', 'informasi', 'masyarakat', 'bahwa', 'di', 'gang', 'usaha', 'rukun', 'tetangga', 'rukun', 'warga', 'sungai', 'purun', 'kecil', 'kecamatan', 'sungai', 'pinyuh', 'sering', 'terjadi', 'transaksi', 'narkoba', 'saat', 'digeledah', 'ditemukan', 'timbangan', 'digital', 'di', 'saku', 'celana', 'pelaku']","['petugas', 'informasi', 'masyarakat', 'gang', 'usaha', 'rukun', 'tetangga', 'rukun', 'warga', 'sungai', 'purun', 'kecamatan', 'sungai', 'pinyuh', 'transaksi', 'narkoba', 'digeledah', 'ditemukan', 'timbangan', 'digital', 'saku', 'celana', 'pelaku']","['petugas', 'informasi', 'masyarakat', 'gang', 'usaha', 'rukun', 'tetangga', 'rukun', 'warga', 'sungai', 'purun', 'camat', 'sungai', 'pinyuh', 'transaksi', 'narkoba', 'geledah', 'temu', 'timbang', 'digital', 'saku', 'celana', 'pelaku']",petugas informasi masyarakat gang usaha rukun tetangga rukun warga sungai purun camat sungai pinyuh transaksi narkoba geledah temu timbang digital saku celana pelaku
LP/B/59/IV/2023/Kalbar/Res Mpw/Sek Sui Pinyuh,18 April 2023,"Tersangka (kurir) dimaki-maki dan diludahi oleh korban (penerima paket) karena korban menolak membayar paket COD yang sudah dibuka segelnya. Tersangka yang sakit hati pulang, lalu kembali lagi pada malam hari mengendarai motor tanpa plat nomor. Tersangka membawa batu kali seukuran kepalan tangan orang dewasa. Tanpa turun dari motor, tersangka melemparkan batu tersebut sekuat tenaga ke arah kaca jendela depan rumah korban hingga pecah berhamburan ke ruang tamu.",Tersangka kurir dimaki maki dan diludahi oleh korban penerima paket karena korban menolak membayar paket COD yang sudah dibuka segelnya Tersangka yang sakit hati pulang lalu kembali lagi pada malam hari mengendarai motor tanpa plat nomor Tersangka membawa batu kali seukuran kepalan tangan orang dewasa Tanpa turun dari motor tersangka melemparkan batu tersebut sekuat tenaga ke arah kaca jendela depan rumah korban hingga pecah berhamburan ke ruang tamu,tersangka kurir dimaki maki dan diludahi oleh korban penerima paket karena korban menolak membayar paket cod yang sudah dibuka segelnya tersangka yang sakit hati pulang lalu kembali lagi pada malam hari mengendarai motor tanpa plat nomor tersangka membawa batu kali seukuran kepalan tangan orang dewasa tanpa turun dari motor tersangka melemparkan batu tersebut sekuat tenaga ke arah kaca jendela depan rumah korban hingga pecah berhamburan ke ruang tamu,tersangka kurir dimaki maki dan diludahi oleh korban penerima paket karena korban menolak membayar paket cod yang sudah dibuka segelnya tersangka yang sakit hati pulang lalu kembali lagi pada malam hari mengendarai motor tanpa plat nomor tersangka membawa batu kali seukuran kepalan tangan orang dewasa tanpa turun dari motor tersangka melemparkan batu tersebut sekuat tenaga ke arah kaca jendela depan rumah korban hingga pecah berhamburan ke ruang tamu,"['tersangka', 'kurir', 'dimaki', 'maki', 'dan', 'diludahi', 'oleh', 'korban', 'penerima', 'paket', 'karena', 'korban', 'menolak', 'membayar', 'paket', 'cod', 'yang', 'sudah', 'dibuka', 'segelnya', 'tersangka', 'yang', 'sakit', 'hati', 'pulang', 'lalu', 'kembali', 'lagi', 'pada', 'malam', 'hari', 'mengendarai', 'motor', 'tanpa', 'plat', 'nomor', 'tersangka', 'membawa', 'batu', 'kali', 'seukuran', 'kepalan', 'tangan', 'orang', 'dewasa', 'tanpa', 'turun', 'dari', 'motor', 'tersangka', 'melemparkan', 'batu', 'tersebut', 'sekuat', 'tenaga', 'ke', 'arah', 'kaca', 'jendela', 'depan', 'rumah', 'korban', 'hingga', 'pecah', 'berhamburan', 'ke', 'ruang', 'tamu']","['tersangka', 'kurir', 'dimaki', 'maki', 'diludahi', 'korban', 'penerima', 'paket', 'korban', 'menolak', 'membayar', 'paket', 'cod', 'dibuka', 'segelnya', 'tersangka', 'sakit', 'hati', 'pulang', 'malam', 'mengendarai', 'motor', 'plat', 'nomor', 'tersangka', 'membawa', 'batu', 'kali', 'seukuran', 'kepalan', 'tangan', 'orang', 'dewasa', 'turun', 'motor', 'tersangka', 'melemparkan', 'batu', 'sekuat', 'tenaga', 'arah', 'kaca', 'jendela', 'rumah', 'korban', 'pecah', 'berhamburan', 'ruang', 'tamu']","['tersangka', 'kurir', 'maki', 'maki', 'ludah', 'korban', 'terima', 'paket', 'korban', 'tolak', 'bayar', 'paket', 'cod', 'buka', 'segel', 'tersangka', 'sakit', 'hati', 'pulang', 'malam', 'kendara', 'motor', 'plat', 'nomor', 'tersangka', 'bawa', 'batu', 'kali', 'ukur', 'kepal', 'tangan', 'orang', 'dewasa', 'turun', 'motor', 'tersangka', 'lempar', 'batu', 'kuat', 'tenaga', 'arah', 'kaca', 'jendela', 'rumah', 'korban', 'pecah', 'hambur', 'ruang', 'tamu']",tersangka kurir maki maki ludah korban terima paket korban tolak bayar paket cod buka segel tersangka sakit hati pulang malam kendara motor plat nomor tersangka bawa batu kali ukur kepal tangan orang dewasa turun motor tersangka lempar batu kuat tenaga arah kaca jendela rumah korban pecah hambur ruang tamu
LP/B/64/IV/2023/Kalbar/Res Mpw/Sek Sui Pinyuh,22 April 2023,"Pelaku mengambil 1 unit sepeda motor Honda Vario milik korban yang sedang terparkir di Gg. Mawar, Desa/Kel. Galang, Kec. Sungai Pinyuh, Kab. Mempawah dengan menggunakan kunci T.",Pelaku mengambil unit sepeda motor Honda Vario milik korban yang sedang terparkir di Gg Mawar Desa Kel Galang Kec Sungai Pinyuh Kab Mempawah dengan menggunakan kunci T,pelaku mengambil unit sepeda motor honda vario milik korban yang sedang terparkir di gg mawar desa kel galang kec sungai pinyuh kab mempawah dengan menggunakan kunci t,pelaku mengambil unit sepeda motor honda vario milik korban yang sedang terparkir di gang mawar desa keluarga galang kecamatan sungai pinyuh kabupaten mempawah dengan menggunakan kunci t,"['pelaku', 'mengambil', 'unit', 'sepeda', 'motor', 'honda', 'vario', 'milik', 'korban', 'yang', 'sedang', 'terparkir', 'di', 'gang', 'mawar', 'desa', 'keluarga', 'galang', 'kecamatan', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'dengan', 'menggunakan', 'kunci', 't']","['pelaku', 'mengambil', 'unit', 'sepeda', 'motor', 'honda', 'vario', 'milik', 'korban', 'terparkir', 'gang', 'mawar', 'desa', 'keluarga', 'galang', 'kecamatan', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'kunci']","['pelaku', 'ambil', 'unit', 'sepeda', 'motor', 'honda', 'vario', 'milik', 'korban', 'parkir', 'gang', 'mawar', 'desa', 'keluarga', 'galang', 'camat', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'kunci']",pelaku ambil unit sepeda motor honda vario milik korban parkir gang mawar desa keluarga galang camat sungai pinyuh kabupaten mempawah kunci
LP/B/66/IV/2023/Kalbar/Res Mpw/Sek Sui Pinyuh,28 April 2023,"Pelaku mengambil dompet berisi uang dan surat-surat milik korban yang sedang terparkir di Jl. Raya RT 05/RW 01, Sungai Batang, Kec. Sungai Pinyuh dengan menggunakan kunci T.",Pelaku mengambil dompet berisi uang dan surat surat milik korban yang sedang terparkir di Jl Raya RT RW Sungai Batang Kec Sungai Pinyuh dengan menggunakan kunci T,pelaku mengambil dompet berisi uang dan surat surat milik korban yang sedang terparkir di jl raya rt rw sungai batang kec sungai pinyuh dengan menggunakan kunci t,pelaku mengambil dompet berisi uang dan surat surat milik korban yang sedang terparkir di jalan raya rukun tetangga rukun warga sungai batang kecamatan sungai pinyuh dengan menggunakan kunci t,"['pelaku', 'mengambil', 'dompet', 'berisi', 'uang', 'dan', 'surat', 'surat', 'milik', 'korban', 'yang', 'sedang', 'terparkir', 'di', 'jalan', 'raya', 'rukun', 'tetangga', 'rukun', 'warga', 'sungai', 'batang', 'kecamatan', 'sungai', 'pinyuh', 'dengan', 'menggunakan', 'kunci', 't']","['pelaku', 'mengambil', 'dompet', 'berisi', 'uang', 'surat', 'surat', 'milik', 'korban', 'terparkir', 'jalan', 'raya', 'rukun', 'tetangga', 'rukun', 'warga', 'sungai', 'batang', 'kecamatan', 'sungai', 'pinyuh', 'kunci']","['pelaku', 'ambil', 'dompet', 'isi', 'uang', 'surat', 'surat', 'milik', 'korban', 'parkir', 'jalan', 'raya', 'rukun', 'tetangga', 'rukun', 'warga', 'sungai', 'batang', 'camat', 'sungai', 'pinyuh', 'kunci']",pelaku ambil dompet isi uang surat surat milik korban parkir jalan raya rukun tetangga rukun warga sungai batang camat sungai pinyuh kunci
LP/B/67/IV/2023/Kalbar/Res Mpw/Sek Sui Pinyuh,30 April 2023,"Petugas mendapatkan informasi masyarakat bahwa di Jl. Jurusan Pontianak, Desa/Kel. Sungai Batang, Kec. Sungai Pinyuh, Kab. Mempawah sering terjadi transaksi narkoba, saat digeledah ditemukan 2 butir pil ekstasi di saku celana pelaku.",Petugas mendapatkan informasi masyarakat bahwa di Jl Jurusan Pontianak Desa Kel Sungai Batang Kec Sungai Pinyuh Kab Mempawah sering terjadi transaksi narkoba saat digeledah ditemukan butir pil ekstasi di saku celana pelaku,petugas mendapatkan informasi masyarakat bahwa di jl jurusan pontianak desa kel sungai batang kec sungai pinyuh kab mempawah sering terjadi transaksi narkoba saat digeledah ditemukan butir pil ekstasi di saku celana pelaku,petugas mendapatkan informasi masyarakat bahwa di jalan jurusan pontianak desa keluarga sungai batang kecamatan sungai pinyuh kabupaten mempawah sering terjadi transaksi narkoba saat digeledah ditemukan butir pil ekstasi di saku celana pelaku,"['petugas', 'mendapatkan', 'informasi', 'masyarakat', 'bahwa', 'di', 'jalan', 'jurusan', 'pontianak', 'desa', 'keluarga', 'sungai', 'batang', 'kecamatan', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'sering', 'terjadi', 'transaksi', 'narkoba', 'saat', 'digeledah', 'ditemukan', 'butir', 'pil', 'ekstasi', 'di', 'saku', 'celana', 'pelaku']","['petugas', 'informasi', 'masyarakat', 'jalan', 'jurusan', 'pontianak', 'desa', 'keluarga', 'sungai', 'batang', 'kecamatan', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'transaksi', 'narkoba', 'digeledah', 'ditemukan', 'butir', 'pil', 'ekstasi', 'saku', 'celana', 'pelaku']","['petugas', 'informasi', 'masyarakat', 'jalan', 'jurus', 'pontianak', 'desa', 'keluarga', 'sungai', 'batang', 'camat', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'transaksi', 'narkoba', 'geledah', 'temu', 'butir', 'pil', 'ekstasi', 'saku', 'celana', 'pelaku']",petugas informasi masyarakat jalan jurus pontianak desa keluarga sungai batang camat sungai pinyuh kabupaten mempawah transaksi narkoba geledah temu butir pil ekstasi saku celana pelaku
LP/B/70/V/2023/Kalbar/Res Mpw/Sek Sui Pinyuh,2 Mei 2023,"Pelaku masuk ke dalam rumah korban dengan cara mencongkel jendela samping menggunakan obeng, kemudian mengambil 2 buah tabung gas 3kg.",Pelaku masuk ke dalam rumah korban dengan cara mencongkel jendela samping menggunakan obeng kemudian mengambil buah tabung gas kg,pelaku masuk ke dalam rumah korban dengan cara mencongkel jendela samping menggunakan obeng kemudian mengambil buah tabung gas kg,pelaku masuk ke dalam rumah korban dengan cara mencongkel jendela samping menggunakan obeng kemudian mengambil buah tabung gas kilo,"['pelaku', 'masuk', 'ke', 'dalam', 'rumah', 'korban', 'dengan', 'cara', 'mencongkel', 'jendela', 'samping', 'menggunakan', 'obeng', 'kemudian', 'mengambil', 'buah', 'tabung', 'gas', 'kilo']","['pelaku', 'masuk', 'rumah', 'korban', 'mencongkel', 'jendela', 'samping', 'obeng', 'mengambil', 'buah', 'tabung', 'gas', 'kilo']","['pelaku', 'masuk', 'rumah', 'korban', 'congkel', 'jendela', 'samping', 'obeng', 'ambil', 'buah', 'tabung', 'gas', 'kilo']",pelaku masuk rumah korban congkel jendela samping obeng ambil buah tabung gas kilo
